Title,Description,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass,Location_Prefix,RDataPath,Tags
Genomic_location_Ensembl_Arabidopsis_thaliana_10genes_EnsemblID.rds,"ExperimentHubData package for the 'mulea' comprehensive overrepresentation and functional enrichment analyser R package. Here we provide ontologies (gene sets) in a data.frame for 27 different organisms, ranging from Escherichia coli to human, all acquired from publicly available data sources. Each ontology is provided with multiple gene and protein identifiers.",3.19,NA,Multiple,www.ensembl.org,109,Arabidopsis thaliana,3702,NA,muleaData,Eszter Ari arieszter@gmail.com,data.frame,Rds,NA,muleaData/Genomic_location_Ensembl_Arabidopsis_thaliana_10genes_EnsemblID.rds,ExperimentData:ExperimentHub:Arabidopsis_thaliana_Data:DNASeqData
Genomic_location_Ensembl_Arabidopsis_thaliana_10genes_EntrezID.rds,"ExperimentHubData package for the 'mulea' comprehensive overrepresentation and functional enrichment analyser R package. Here we provide ontologies (gene sets) in a data.frame for 27 different organisms, ranging from Escherichia coli to human, all acquired from publicly available data sources. Each ontology is provided with multiple gene and protein identifiers.",3.19,NA,Multiple,www.ensembl.org,109,Arabidopsis thaliana,3702,NA,muleaData,Eszter Ari arieszter@gmail.com,data.frame,Rds,NA,muleaData/Genomic_location_Ensembl_Arabidopsis_thaliana_10genes_EntrezID.rds,ExperimentData:ExperimentHub:Arabidopsis_thaliana_Data:DNASeqData
Genomic_location_Ensembl_Arabidopsis_thaliana_10genes_GeneSymbol.rds,"ExperimentHubData package for the 'mulea' comprehensive overrepresentation and functional enrichment analyser R package. Here we provide ontologies (gene sets) in a data.frame for 27 different organisms, ranging from Escherichia coli to human, all acquired from publicly available data sources. Each ontology is provided with multiple gene and protein identifiers.",3.19,NA,Multiple,www.ensembl.org,109,Arabidopsis thaliana,3702,NA,muleaData,Eszter Ari arieszter@gmail.com,data.frame,Rds,NA,muleaData/Genomic_location_Ensembl_Arabidopsis_thaliana_10genes_GeneSymbol.rds,ExperimentData:ExperimentHub:Arabidopsis_thaliana_Data:DNASeqData
Genomic_location_Ensembl_Arabidopsis_thaliana_10genes_UniprotID.rds,"ExperimentHubData package for the 'mulea' comprehensive overrepresentation and functional enrichment analyser R package. Here we provide ontologies (gene sets) in a data.frame for 27 different organisms, ranging from Escherichia coli to human, all acquired from publicly available data sources. Each ontology is provided with multiple gene and protein identifiers.",3.19,NA,Multiple,www.ensembl.org,109,Arabidopsis thaliana,3702,NA,muleaData,Eszter Ari arieszter@gmail.com,data.frame,Rds,NA,muleaData/Genomic_location_Ensembl_Arabidopsis_thaliana_10genes_UniprotID.rds,ExperimentData:ExperimentHub:Arabidopsis_thaliana_Data:DNASeqData
Genomic_location_Ensembl_Arabidopsis_thaliana_20genes_EnsemblID.rds,"ExperimentHubData package for the 'mulea' comprehensive overrepresentation and functional enrichment analyser R package. Here we provide ontologies (gene sets) in a data.frame for 27 different organisms, ranging from Escherichia coli to human, all acquired from publicly available data sources. Each ontology is provided with multiple gene and protein identifiers.",3.19,NA,Multiple,www.ensembl.org,109,Arabidopsis thaliana,3702,NA,muleaData,Eszter Ari arieszter@gmail.com,data.frame,Rds,NA,muleaData/Genomic_location_Ensembl_Arabidopsis_thaliana_20genes_EnsemblID.rds,ExperimentData:ExperimentHub:Arabidopsis_thaliana_Data:DNASeqData
Genomic_location_Ensembl_Arabidopsis_thaliana_20genes_EntrezID.rds,"ExperimentHubData package for the 'mulea' comprehensive overrepresentation and functional enrichment analyser R package. Here we provide ontologies (gene sets) in a data.frame for 27 different organisms, ranging from Escherichia coli to human, all acquired from publicly available data sources. Each ontology is provided with multiple gene and protein identifiers.",3.19,NA,Multiple,www.ensembl.org,109,Arabidopsis thaliana,3702,NA,muleaData,Eszter Ari arieszter@gmail.com,data.frame,Rds,NA,muleaData/Genomic_location_Ensembl_Arabidopsis_thaliana_20genes_EntrezID.rds,ExperimentData:ExperimentHub:Arabidopsis_thaliana_Data:DNASeqData
Genomic_location_Ensembl_Arabidopsis_thaliana_20genes_GeneSymbol.rds,"ExperimentHubData package for the 'mulea' comprehensive overrepresentation and functional enrichment analyser R package. Here we provide ontologies (gene sets) in a data.frame for 27 different organisms, ranging from Escherichia coli to human, all acquired from publicly available data sources. Each ontology is provided with multiple gene and protein identifiers.",3.19,NA,Multiple,www.ensembl.org,109,Arabidopsis thaliana,3702,NA,muleaData,Eszter Ari arieszter@gmail.com,data.frame,Rds,NA,muleaData/Genomic_location_Ensembl_Arabidopsis_thaliana_20genes_GeneSymbol.rds,ExperimentData:ExperimentHub:Arabidopsis_thaliana_Data:DNASeqData
Genomic_location_Ensembl_Arabidopsis_thaliana_20genes_UniprotID.rds,"ExperimentHubData package for the 'mulea' comprehensive overrepresentation and functional enrichment analyser R package. Here we provide ontologies (gene sets) in a data.frame for 27 different organisms, ranging from Escherichia coli to human, all acquired from publicly available data sources. Each ontology is provided with multiple gene and protein identifiers.",3.19,NA,Multiple,www.ensembl.org,109,Arabidopsis thaliana,3702,NA,muleaData,Eszter Ari arieszter@gmail.com,data.frame,Rds,NA,muleaData/Genomic_location_Ensembl_Arabidopsis_thaliana_20genes_UniprotID.rds,ExperimentData:ExperimentHub:Arabidopsis_thaliana_Data:DNASeqData
Genomic_location_Ensembl_Arabidopsis_thaliana_5genes_EnsemblID.rds,"ExperimentHubData package for the 'mulea' comprehensive overrepresentation and functional enrichment analyser R package. Here we provide ontologies (gene sets) in a data.frame for 27 different organisms, ranging from Escherichia coli to human, all acquired from publicly available data sources. Each ontology is provided with multiple gene and protein identifiers.",3.19,NA,Multiple,www.ensembl.org,109,Arabidopsis thaliana,3702,NA,muleaData,Eszter Ari arieszter@gmail.com,data.frame,Rds,NA,muleaData/Genomic_location_Ensembl_Arabidopsis_thaliana_5genes_EnsemblID.rds,ExperimentData:ExperimentHub:Arabidopsis_thaliana_Data:DNASeqData
Genomic_location_Ensembl_Arabidopsis_thaliana_5genes_EntrezID.rds,"ExperimentHubData package for the 'mulea' comprehensive overrepresentation and functional enrichment analyser R package. Here we provide ontologies (gene sets) in a data.frame for 27 different organisms, ranging from Escherichia coli to human, all acquired from publicly available data sources. Each ontology is provided with multiple gene and protein identifiers.",3.19,NA,Multiple,www.ensembl.org,109,Arabidopsis thaliana,3702,NA,muleaData,Eszter Ari arieszter@gmail.com,data.frame,Rds,NA,muleaData/Genomic_location_Ensembl_Arabidopsis_thaliana_5genes_EntrezID.rds,ExperimentData:ExperimentHub:Arabidopsis_thaliana_Data:DNASeqData
